epoch,train_loss,val_loss,train_acc,val_acc
0,0.9912621090809505,0.6192656486829122,0.6226458333333333,0.7605833333333333
1,0.5349848450223604,0.4825617512067159,0.7972708333333334,0.8139166666666666
2,0.4419988287289937,0.4258863127231598,0.8349791666666667,0.8388333333333333
3,0.394024152914683,0.3910699409643809,0.8538333333333333,0.8525
4,0.36281672306855517,0.36895952288309736,0.8645208333333333,0.86525
5,0.34026642351349196,0.360112593571345,0.8737291666666667,0.8678333333333333
6,0.32266045853495595,0.3528269502321879,0.879625,0.8696666666666667
7,0.30899547193447746,0.3428816252549489,0.8850416666666666,0.8750833333333333
8,0.29568819109598793,0.33915070962905886,0.8893125,0.8773333333333333
9,0.2846504730482896,0.33438246126969656,0.893375,0.8781666666666667
10,0.27467597367366153,0.3347083178361257,0.8969166666666667,0.8791666666666667
11,0.26490813998381296,0.3265360742410024,0.9004583333333334,0.8823333333333333
12,0.25579940229654313,0.3225822605689367,0.9033958333333333,0.8838333333333334
13,0.24757279448707897,0.31668814301490783,0.9057708333333333,0.8860833333333333
14,0.23943268592158953,0.31692750203609465,0.9089791666666667,0.8869166666666667
15,0.2324004685928424,0.3190161856015523,0.9120416666666666,0.8855833333333333
16,0.225264362975955,0.32215736333529155,0.9142083333333333,0.8855833333333333
17,0.218461668998003,0.32070628559589387,0.9173958333333333,0.885
18,0.2116915878802538,0.32003556100527447,0.9193333333333333,0.889
19,0.20536191285649935,0.3261550384362539,0.9220625,0.8853333333333333
20,0.20004760932922364,0.3219820753335953,0.9247291666666667,0.886
21,0.193925978894035,0.31862745829423267,0.9268958333333334,0.8895
22,0.18779649125536282,0.32526904658476513,0.9298333333333333,0.8913333333333333
23,0.18144092624882857,0.33184817560513813,0.9323125,0.889
24,0.18056966690222423,0.3350414603948593,0.9325,0.8895
25,0.17041442254682382,0.3543745017449061,0.935875,0.8868333333333334
26,0.1666654571443796,0.35593945161501567,0.936875,0.88775
27,0.1634041103174289,0.3605438326994578,0.9390416666666667,0.8845
28,0.15837513333310685,0.3602527757485708,0.9406666666666667,0.8896666666666667
29,0.15227420988927284,0.36644932806491853,0.9425208333333334,0.8881666666666667
30,0.1492705224553744,0.3863032946983973,0.9451041666666666,0.8873333333333333
31,0.14532544387380283,0.38909463210900624,0.9457916666666667,0.8851666666666667
32,0.14088840461770694,0.39409290703137717,0.9481458333333334,0.8891666666666667
33,0.13895524481435617,0.3963978628714879,0.9485,0.8901666666666667
34,0.13306441413114467,0.403560733238856,0.9506666666666667,0.88825
35,0.13243793169160684,0.40514075370629626,0.9505625,0.887
36,0.12803177316238482,0.4037081175247828,0.9523333333333334,0.8926666666666667
37,0.12398249124487241,0.41872629257043203,0.9530625,0.8885
38,0.121494166555504,0.43107706544796626,0.9545,0.8889166666666667
39,0.11412918697421749,0.4503040571610133,0.957125,0.8873333333333333
40,0.11245686215286453,0.43955985820293425,0.9578541666666667,0.8925833333333333
41,0.1121920456190904,0.4704477681517601,0.958125,0.8880833333333333
42,0.11303029087434212,0.488464928706487,0.9567291666666666,0.8835833333333334
43,0.11503971798717975,0.4636653434832891,0.9558125,0.8875
44,0.1087377831650277,0.46384035172065097,0.9586875,0.8896666666666667
45,0.0980010274015367,0.49128574355443316,0.96275,0.8865833333333333
46,0.10446749594186742,0.4923849933544795,0.9605416666666666,0.8913333333333333
47,0.09887831898157795,0.4995990662574768,0.9624166666666667,0.8901666666666667
48,0.09907219376477103,0.5082099607388179,0.9627291666666666,0.892
49,0.09692804998283584,0.5105723308722178,0.9625625,0.8918333333333334
